"Country","Season","Season.type","Year","Stock","Area","Fleets","Effort","UnitEffort","Catch..kg","Catch.Cat.","Report.cat.","Discards.Imported.Or.Raised"
"Netherlands","3","Quarter","2022","pil.27.7","27.7.e","OTM_SPF_32-69_0_0_all","9444","kWd","20750.00","Landings","R-Reported","Imported"
"France","3","Quarter","2022","pil.27.7","27.7.e","OTB_DEF_32-69_0_0","4004","kWd","57.50","Landings","R-Reported","Imported"
"France","4","Quarter","2022","pil.27.7","27.7.e","OTB_SPF_70-99_0_0_all","3239","kWd","112.32","Landings","R-Reported","Imported"
"France","2","Quarter","2022","pil.27.7","27.7.e","OTB_SPF_32-69_0_0_all","4572","kWd","217.19","Landings","R-Reported","Imported"
"France","2","Quarter","2022","pil.27.7","27.7.e","OTB_DEF_70-99_0_0","381287","kWd","0.00","Discards","R-Reported","Imported"
"Germany","3","Quarter","2022","pil.27.7","27.7.e","OTM_SPF_32-69_0_0_all","-9","NA","892.00","Landings","R-Reported","Imported"
"UK (England)","4","Quarter","2022","pil.27.7","27.7.f","MIS_MIS_0_0_0_HC","-9","NA","283644.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter","2022","pil.27.7","27.7.f","OTM_SPF_32-69_0_0_all","-9","NA","284.00","Landings","A-All - reported, nonre","Imported"
"Ireland","4","Quarter","2022","pil.27.7","27.7.a","PTM_SPF_16-31_0_0_all","-9","NA","0.00","Landings","R-Reported","Imported"
"France","4","Quarter","2022","pil.27.7","27.7.e","OTB_DEF_70-99_0_0","250595","kWd","422.32","Landings","R-Reported","Imported"
"France","4","Quarter","2022","pil.27.7","27.7.d","PS_SPF_0_0_0","5476","kWd","55.12","Landings","R-Reported","Imported"
"France","4","Quarter","2022","pil.27.7","27.7.d","OTM_SPF_70-99_0_0_all","17471","kWd","13430.02","Landings","R-Reported","Imported"
"UK(Scotland)","4","Quarter","2022","pil.27.7","27.7.d","MIS_MIS_0_0_0_HC","26403","kWd","15.00","Landings","R-Reported","Imported"
"Netherlands","2","Quarter","2021","pil.27.7","27.7.d","OTB_DEF_70-99_0_0_all","12940","kWd","130.00","Landings","R-Reported","Imported"
"UK (England)","3","Quarter","2021","pil.27.7","27.7.f","MIS_MIS_0_0_0_HC","-9","NA","153275.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","3","Quarter","2021","pil.27.7","27.7.e","MIS_MIS_0_0_0_HC","-9","NA","47.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter","2021","pil.27.7","27.7.e","MIS_MIS_0_0_0_HC","-9","NA","230591.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter","2021","pil.27.7","27.7.f","MIS_MIS_0_0_0_HC","-9","NA","121798.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","2","Quarter","2021","pil.27.7","27.7.e","MIS_MIS_0_0_0_HC","-9","NA","2.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter","2021","pil.27.7","27.7.f","MIS_MIS_0_0_0_HC","-9","NA","72.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter","2021","pil.27.7","27.7.e","MIS_MIS_0_0_0_HC","-9","NA","90575.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","2","Quarter","2021","pil.27.7","27.7.d","SSC_DEF_All_0_0_All","-9","NA","5694.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter","2021","pil.27.7","27.7.d","SSC_DEF_All_0_0_All","-9","NA","328.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter","2021","pil.27.7","27.7.d","SSC_DEF_All_0_0_All","-9","NA","44.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","3","Quarter","2021","pil.27.7","27.7.d","SSC_DEF_All_0_0_All","-9","NA","13.00","Landings","A-All - reported, nonre","Imported"
"France","1","Quarter","2021","pil.27.7","27.7.d","PS_SPF_0_0_0","15450","kWd","522.08","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.d","PS_SPF_0_0_0","11576","kWd","725.65","Landings","R-Reported","Imported"
"France","4","Quarter","2021","pil.27.7","27.7.d","PS_SPF_0_0_0","10317","kWd","32.87","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.d","PS_SPF_0_0_0","8369","kWd","34.32","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.e","PS_SPF_0_0_0","197645","kWd","14.56","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.h","PS_SPF_0_0_0","99","kWd","1181.42","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.h","PS_SPF_0_0_0","2354","kWd","47987.21","Landings","R-Reported","Imported"
"UK (England)","1","Quarter","2021","pil.27.7","27.7.e","PS_SPF_0_0_0","-9","NA","507613.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter","2021","pil.27.7","27.7.e","PS_SPF_0_0_0","-9","NA","369500.00","BMS landing","A-All - reported, nonre","Imported"
"UK (England)","3","Quarter","2021","pil.27.7","27.7.e","PS_SPF_0_0_0","-9","NA","838429.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter","2021","pil.27.7","27.7.e","PS_SPF_0_0_0","-9","NA","497581.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","3","Quarter","2021","pil.27.7","27.7.f","PS_SPF_0_0_0","-9","NA","858082.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter","2021","pil.27.7","27.7.f","PS_SPF_0_0_0","-9","NA","265333.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter","2021","pil.27.7","27.7.f","PS_SPF_0_0_0","-9","NA","303284.00","Landings","A-All - reported, nonre","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.d","MIS_MIS_0_0_0","2139010","kWd","10519.18","Landings","R-Reported","Imported"
"France","1","Quarter","2021","pil.27.7","27.7.d","MIS_MIS_0_0_0","3142776","kWd","6503.08","Landings","R-Reported","Imported"
"France","4","Quarter","2021","pil.27.7","27.7.d","MIS_MIS_0_0_0","4543208","kWd","1080.83","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.d","MIS_MIS_0_0_0","1627341","kWd","16262.78","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.e","MIS_MIS_0_0_0","2914731","kWd","717.03","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.e","MIS_MIS_0_0_0","2489373","kWd","409.90","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.e","MIS_MIS_0_0_0","2489373","kWd","0.00","Logbook Registered Discard","R-Reported","Imported"
"France","4","Quarter","2021","pil.27.7","27.7.e","MIS_MIS_0_0_0","2541236","kWd","1361.61","Landings","R-Reported","Imported"
"France","1","Quarter","2021","pil.27.7","27.7.e","MIS_MIS_0_0_0","2787459","kWd","971.92","Landings","R-Reported","Imported"
"France","1","Quarter","2021","pil.27.7","27.7.b","MIS_MIS_0_0_0","63259","kWd","3.43","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.b","MIS_MIS_0_0_0","86452","kWd","257.92","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.e","OTB_SPF_32-69_0_0_all","872","kWd","92.35","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.d","OTB_SPF_32-69_0_0_all","1618","kWd","15.60","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.d","OTB_SPF_32-69_0_0_all","9357","kWd","2117.67","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.e","OTB_SPF_32-69_0_0_all","1239","kWd","296.09","Landings","R-Reported","Imported"
"France","1","Quarter","2021","pil.27.7","27.7.e","OTB_SPF_32-69_0_0_all","5708","kWd","246.58","Landings","R-Reported","Imported"
"France","4","Quarter","2021","pil.27.7","27.7.e","OTB_SPF_32-69_0_0_all","751","kWd","102.76","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_16-31_0_0","8370","kWd","5200.00","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_16-31_0_0","21859","kWd","1197.55","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.h","OTM_SPF_16-31_0_0","1514","kWd","16701.97","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.j","OTM_SPF_16-31_0_0","1676","kWd","7824.79","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.e","OTM_SPF_70-99_0_0_all","3534","kWd","640.45","Landings","R-Reported","Imported"
"France","1","Quarter","2021","pil.27.7","27.7.e","OTM_SPF_70-99_0_0_all","2758","kWd","0.52","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.e","OTM_SPF_70-99_0_0_all","3601","kWd","98.93","Landings","R-Reported","Imported"
"France","1","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_70-99_0_0_all","33695","kWd","1839.78","Landings","R-Reported","Imported"
"France","1","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_70-99_0_0_all","33695","kWd","0.00","Logbook Registered Discard","R-Reported","Imported"
"France","4","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_70-99_0_0_all","23622","kWd","364.00","Landings","R-Reported","Imported"
"France","4","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_70-99_0_0_all","23622","kWd","0.00","Logbook Registered Discard","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_70-99_0_0_all","23781","kWd","19210.02","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_70-99_0_0_all","44326","kWd","2546.78","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_70-99_0_0_all","44326","kWd","0.00","Logbook Registered Discard","R-Reported","Imported"
"UK (England)","2","Quarter","2021","pil.27.7","27.7.e","GNS_DEF_all_0_0_all","-9","NA","2.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter","2021","pil.27.7","27.7.e","GNS_DEF_all_0_0_all","-9","NA","217849.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","3","Quarter","2021","pil.27.7","27.7.e","GNS_DEF_all_0_0_all","-9","NA","222962.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter","2021","pil.27.7","27.7.f","GNS_DEF_all_0_0_all","-9","NA","533988.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter","2021","pil.27.7","27.7.e","GNS_DEF_all_0_0_all","-9","NA","480552.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter","2021","pil.27.7","27.7.f","GNS_DEF_all_0_0_all","-9","NA","444688.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","3","Quarter","2021","pil.27.7","27.7.f","GNS_DEF_all_0_0_all","-9","NA","603763.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter","2021","pil.27.7","27.7.e","LLS_FIF_0_0_0_all","-9","NA","3.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","3","Quarter","2021","pil.27.7","27.7.e","LLS_FIF_0_0_0_all","-9","NA","1.00","Landings","A-All - reported, nonre","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.e","SSC_DEF_70-99_0_0_all","1627","kWd","16.24","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.e","SSC_DEF_70-99_0_0_all","27073","kWd","200.32","Landings","R-Reported","Imported"
"France","1","Quarter","2021","pil.27.7","27.7.e","SSC_DEF_70-99_0_0_all","14282","kWd","303.58","Landings","R-Reported","Imported"
"Netherlands","3","Quarter","2021","pil.27.7","27.7.e","SSC_DEF_70-99_0_0_all","8659","kWd","340.00","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.h","SSC_DEF_70-99_0_0_all","295","kWd","11.82","Landings","R-Reported","Imported"
"Netherlands","4","Quarter","2021","pil.27.7","27.7.d","SSC_DEF_70-99_0_0_all","483404","kWd","1990.00","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.d","SSC_DEF_70-99_0_0_all","209568","kWd","1608.07","Landings","R-Reported","Imported"
"France","1","Quarter","2021","pil.27.7","27.7.d","SSC_DEF_70-99_0_0_all","115018","kWd","1479.86","Landings","R-Reported","Imported"
"Netherlands","3","Quarter","2021","pil.27.7","27.7.d","SSC_DEF_70-99_0_0_all","128769","kWd","1420.00","Landings","R-Reported","Imported"
"Netherlands","2","Quarter","2021","pil.27.7","27.7.d","SSC_DEF_70-99_0_0_all","120329","kWd","5800.00","Landings","R-Reported","Imported"
"Netherlands","1","Quarter","2021","pil.27.7","27.7.d","SSC_DEF_70-99_0_0_all","345230","kWd","1700.00","Landings","R-Reported","Imported"
"France","4","Quarter","2021","pil.27.7","27.7.d","SSC_DEF_70-99_0_0_all","138523","kWd","669.18","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.d","SSC_DEF_70-99_0_0_all","57485","kWd","3715.97","Landings","R-Reported","Imported"
"Netherlands","2","Quarter","2021","pil.27.7","27.7.e","SSC_DEF_70-99_0_0_all","25026","kWd","120.00","Landings","R-Reported","Imported"
"Netherlands","1","Quarter","2021","pil.27.7","27.7.e","SSC_DEF_70-99_0_0_all","56452","kWd","330.00","Landings","R-Reported","Imported"
"Ireland","4","Quarter","2021","pil.27.7","27.7.g","PTM_SPF_16-31_0_0_all","-9","NA","75785.00","Landings","R-Reported","Imported"
"Ireland","4","Quarter","2021","pil.27.7","27.7.g","PTM_SPF_16-31_0_0_all","-9","NA","0.00","Discards","R-Reported","Imported"
"Ireland","1","Quarter","2021","pil.27.7","27.7.j.2","PTM_SPF_16-31_0_0_all","-9","NA","291190.00","Landings","R-Reported","Imported"
"Ireland","1","Quarter","2021","pil.27.7","27.7.j.2","PTM_SPF_16-31_0_0_all","-9","NA","0.00","Discards","R-Reported","Imported"
"Ireland","4","Quarter","2021","pil.27.7","27.7.j.2","PTM_SPF_16-31_0_0_all","-9","NA","141738.00","Landings","R-Reported","Imported"
"Ireland","4","Quarter","2021","pil.27.7","27.7.j.2","PTM_SPF_16-31_0_0_all","-9","NA","0.00","Discards","R-Reported","Imported"
"UK(Scotland)","2021","Year","2021","pil.27.7","27.7.d","OTB_CRU_70-99_0_0_all","267825","kWd","2821.00","Landings","R-Reported","Imported"
"Netherlands","3","Quarter","2021","pil.27.7","27.7.d","SSC_DEF_100-119_0_0_all","3771","kWd","60.00","Landings","R-Reported","Imported"
"Netherlands","4","Quarter","2021","pil.27.7","27.7.d","SSC_DEF_100-119_0_0_all","1542","kWd","20.00","Landings","R-Reported","Imported"
"Netherlands","3","Quarter","2021","pil.27.7","27.7.e","SSC_DEF_100-119_0_0_all","6701","kWd","60.00","Landings","R-Reported","Imported"
"France","4","Quarter","2021","pil.27.7","27.7.e","OTB_DEF_32-69_0_0","5839","kWd","0.00","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.e","OTB_DEF_32-69_0_0","4504","kWd","58.97","Landings","R-Reported","Imported"
"France","1","Quarter","2021","pil.27.7","27.7.e","OTB_DEF_32-69_0_0","1379","kWd","20.62","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.d","OTB_DEF_32-69_0_0","7407","kWd","78.45","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.d","OTB_DEF_32-69_0_0","16247","kWd","23218.65","Landings","R-Reported","Imported"
"France","1","Quarter","2021","pil.27.7","27.7.d","OTB_DEF_32-69_0_0","3041","kWd","345.28","Landings","R-Reported","Imported"
"France","4","Quarter","2021","pil.27.7","27.7.d","OTB_DEF_32-69_0_0","5011","kWd","571.84","Landings","R-Reported","Imported"
"France","4","Quarter","2021","pil.27.7","27.7.d","OTB_DEF_70-99_0_0","971747","kWd","15245.41","Landings","R-Reported","Imported"
"France","4","Quarter","2021","pil.27.7","27.7.d","OTB_DEF_70-99_0_0","971747","kWd","0.00","Logbook Registered Discard","R-Reported","Imported"
"France","1","Quarter","2021","pil.27.7","27.7.d","OTB_DEF_70-99_0_0","723885","kWd","9872.06","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.d","OTB_DEF_70-99_0_0","602474","kWd","24840.92","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.d","OTB_DEF_70-99_0_0","1269881","kWd","10845.69","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.d","OTB_DEF_70-99_0_0","1269881","kWd","0.00","Discards","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.d","OTB_DEF_70-99_0_0","1269881","kWd","0.00","Logbook Registered Discard","R-Reported","Imported"
"France","1","Quarter","2021","pil.27.7","27.7.e","OTB_DEF_70-99_0_0","594159","kWd","684.44","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.e","OTB_DEF_70-99_0_0","632228","kWd","2556.06","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.e","OTB_DEF_70-99_0_0","776775","kWd","856.67","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.e","OTB_DEF_70-99_0_0","776775","kWd","0.00","Discards","R-Reported","Imported"
"France","4","Quarter","2021","pil.27.7","27.7.e","OTB_DEF_70-99_0_0","246856","kWd","576.59","Landings","R-Reported","Imported"
"France","1","Quarter","2021","pil.27.7","27.7.b","OTB_DEF_70-99_0_0","64153","kWd","27.14","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.b","OTB_DEF_70-99_0_0","21814","kWd","16.54","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.b","OTB_DEF_70-99_0_0","38984","kWd","87.88","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.h","OTB_DEF_70-99_0_0","44132","kWd","44.73","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.h","OTB_DEF_70-99_0_0","45822","kWd","20.01","Landings","R-Reported","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_32-69_0_0_all","152959","kWd","104662.64","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_32-69_0_0_all","71610","kWd","155443.63","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_32-69_0_0_all","71610","kWd","0.00","Logbook Registered Discard","R-Reported","Imported"
"France","1","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_32-69_0_0_all","62635","kWd","27.29","Landings","R-Reported","Imported"
"France","1","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_32-69_0_0_all","62635","kWd","0.00","Logbook Registered Discard","R-Reported","Imported"
"France","4","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_32-69_0_0_all","203051","kWd","236684.31","Landings","R-Reported","Imported"
"France","4","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_32-69_0_0_all","203051","kWd","0.00","Logbook Registered Discard","R-Reported","Imported"
"Netherlands","1","Quarter","2021","pil.27.7","27.7.e","OTM_SPF_32-69_0_0_all","161767","kWd","70.00","Landings","R-Reported","Imported"
"Netherlands","1","Quarter","2021","pil.27.7","27.7.e","OTM_SPF_32-69_0_0_all","161767","kWd","0.00","Discards","R-Reported","Imported"
"Netherlands","1","Quarter","2021","pil.27.7","27.7.c","OTM_SPF_32-69_0_0_all","180530","kWd","0.00","Discards","R-Reported","Imported"
"Netherlands","1","Quarter","2021","pil.27.7","27.7.j","OTM_SPF_32-69_0_0_all","293041","kWd","0.00","Discards","R-Reported","Imported"
"Netherlands","1","Quarter","2021","pil.27.7","27.7.b","OTM_SPF_32-69_0_0_all","330332","kWd","0.00","Discards","R-Reported","Imported"
"Netherlands","1","Quarter","2021","pil.27.7","27.7.h","OTM_SPF_32-69_0_0_all","183150","kWd","0.00","Discards","R-Reported","Imported"
"Netherlands","3","Quarter","2021","pil.27.7","27.7.j","OTM_SPF_32-69_0_0_all","185400","kWd","50.00","Landings","R-Reported","Imported"
"UK (England)","4","Quarter","2021","pil.27.7","27.7.e","OTM_SPF_32-69_0_0_all","-9","NA","9838.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter","2021","pil.27.7","27.7.e","OTM_SPF_32-69_0_0_all","-9","NA","171321.00","Landings","A-All - reported, nonre","Imported"
"France","3","Quarter","2021","pil.27.7","27.7.e","OTM_SPF_32-69_0_0_all","2342","kWd","85.59","Landings","R-Reported","Imported"
"France","4","Quarter","2021","pil.27.7","27.7.e","OTM_SPF_32-69_0_0_all","1656","kWd","596.13","Landings","R-Reported","Imported"
"Netherlands","1","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_32-69_0_0_all","33547","kWd","0.00","Discards","R-Reported","Imported"
"Netherlands","4","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_32-69_0_0_all","646955","kWd","66030.00","Landings","R-Reported","Imported"
"Netherlands","4","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_32-69_0_0_all","646955","kWd","0.00","Discards","R-Reported","Imported"
"Netherlands","4","Quarter","2021","pil.27.7","27.7.f","OTM_SPF_32-69_0_0_all","10868","kWd","3200.00","Landings","R-Reported","Imported"
"France","2","Quarter","2021","pil.27.7","27.7.e","OTM_SPF_32-69_0_0_all","618","kWd","239.61","Landings","R-Reported","Imported"
"Denmark","3","Quarter","2021","pil.27.7","27.7.h","OTM_SPF_32-69_0_0_all","-9","NA","31360.00","Landings","R-Reported","Imported"
"Denmark","3","Quarter","2021","pil.27.7","27.7.e","OTM_SPF_32-69_0_0_all","-9","NA","57703.00","Landings","R-Reported","Imported"
"Netherlands","1","Quarter","2021","pil.27.7","27.7.k","OTM_SPF_32-69_0_0_all","366469","kWd","0.00","Discards","R-Reported","Imported"
"Netherlands","4","Quarter","2021","pil.27.7","27.7.e","OTM_SPF_32-69_0_0_all","13526","kWd","29900.00","Landings","R-Reported","Imported"
"France","1","Quarter","2021","pil.27.7","27.7.e","OTM_SPF_32-69_0_0_all","2164","kWd","672.42","Landings","R-Reported","Imported"
"UK (England)","1","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_32-69_0_0_all","-9","NA","44287.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter","2021","pil.27.7","27.7.d","OTM_SPF_32-69_0_0_all","-9","NA","82365.00","Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter","2021","pil.27.7","27.7.f","OTM_SPF_32-69_0_0_all","-9","NA","17768.00","Landings","A-All - reported, nonre","Imported"
